county,date,aqi_mean,aqi_max,pm25_mean,pm25_max,observation_count,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,fire_event_count_radius,smoke_present,min_fire_distance_km,fire_radius_km,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_roll3_mean,aqi_roll7_mean,target_next_day_aqi,target_next_day_exceedance
Fresno,2018-03-20,47.79166666666666,62.0,,,24.0,13.0,19.0,7.0,0.0,9.5,0.0,0.0,1500.0,150.0,35.666666666666664,34.541666666666664,41.16666666666666,37.12499999999999,25.878623188405793,44.04166666666666,0.0
Fresno,2018-03-21,44.04166666666666,59.0,,,24.0,14.1,17.3,10.9,27.3,16.6,0.0,0.0,1500.0,150.0,47.79166666666666,35.666666666666664,34.541666666666664,39.33333333333333,30.03933747412008,5.708333333333333,0.0
Fresno,2018-03-22,5.708333333333333,13.0,,,24.0,15.9,17.9,13.9,47.4,20.0,0.0,0.0,1500.0,150.0,44.04166666666666,47.79166666666666,35.666666666666664,42.49999999999999,34.81547619047618,21.041666666666668,0.0
Fresno,2018-03-23,21.041666666666668,34.0,,,24.0,10.75,15.8,5.7,11.1,19.7,0.0,0.0,1500.0,150.0,5.708333333333333,44.04166666666666,47.79166666666666,32.51388888888888,32.83928571428571,26.541666666666668,0.0
Fresno,2018-03-24,26.541666666666668,42.0,,,24.0,10.35,15.6,5.1,0.0,15.6,0.0,0.0,1500.0,150.0,21.041666666666668,5.708333333333333,44.04166666666666,23.597222222222218,32.85119047619047,18.875,0.0
Fresno,2018-03-25,18.875,28.0,,,24.0,10.2,14.9,5.5,0.0,18.7,0.0,0.0,1500.0,150.0,26.541666666666668,21.041666666666668,5.708333333333333,17.76388888888889,30.761904761904756,22.08333333333333,0.0
Fresno,2018-03-26,22.08333333333333,37.0,,,24.0,9.3,15.1,3.5,0.0,18.4,0.0,0.0,1500.0,150.0,18.875,26.541666666666668,21.041666666666668,22.152777777777775,28.52380952380952,45.0,0.0
Fresno,2018-03-27,45.0,63.0,,,24.0,11.9,18.9,4.9,0.0,12.5,0.0,0.0,1500.0,150.0,22.08333333333333,18.875,26.541666666666668,22.5,26.583333333333332,50.79166666666666,0.0
Fresno,2018-03-28,50.79166666666666,57.0,,,24.0,14.2,22.7,5.7,0.0,10.2,0.0,0.0,1500.0,150.0,45.0,22.08333333333333,18.875,28.652777777777775,26.184523809523807,58.833333333333336,0.0
Fresno,2018-03-29,58.833333333333336,64.0,,,24.0,16.9,25.1,8.7,0.0,10.8,0.0,0.0,1500.0,150.0,50.79166666666666,45.0,22.08333333333333,39.291666666666664,27.148809523809522,59.333333333333336,0.0
Fresno,2018-03-30,59.333333333333336,69.0,,,24.0,18.4,26.7,10.1,0.0,9.2,0.0,0.0,1500.0,150.0,58.833333333333336,50.79166666666666,45.0,51.541666666666664,34.738095238095234,59.25,0.0
Fresno,2018-03-31,59.25,68.0,,,24.0,18.05,26.5,9.6,0.0,8.4,0.0,0.0,1500.0,150.0,59.333333333333336,58.833333333333336,50.79166666666666,56.319444444444436,40.20833333333333,50.208333333333336,0.0
Fresno,2018-04-01,50.208333333333336,63.0,,,24.0,17.15,25.7,8.6,0.0,9.4,0.0,0.0,1500.0,150.0,59.25,59.333333333333336,58.833333333333336,59.13888888888889,44.88095238095239,29.416666666666668,0.0
Fresno,2018-04-02,29.416666666666668,40.0,,,24.0,18.15,25.2,11.1,0.0,14.8,0.0,0.0,1500.0,150.0,50.208333333333336,59.25,59.333333333333336,56.263888888888886,49.357142857142854,45.375,0.0
Fresno,2018-04-03,45.375,54.0,,,24.0,17.45,25.0,9.9,0.0,13.6,0.0,0.0,1500.0,150.0,29.416666666666668,50.208333333333336,59.25,46.291666666666664,50.40476190476191,43.29166666666666,0.0
Fresno,2018-04-04,43.29166666666666,55.0,,,24.0,17.85,26.0,9.7,0.0,8.8,0.0,0.0,1500.0,150.0,45.375,29.416666666666668,50.208333333333336,41.666666666666664,50.458333333333336,40.91666666666666,0.0
Fresno,2018-04-05,40.91666666666666,53.0,,,24.0,18.4,25.5,11.3,0.0,16.4,0.0,0.0,1500.0,150.0,43.29166666666666,45.375,29.416666666666668,39.36111111111111,49.38690476190476,28.0,0.0
Fresno,2018-04-06,28.0,38.0,,,24.0,18.5,23.2,13.8,2.3,20.2,0.0,0.0,1500.0,150.0,40.91666666666666,43.29166666666666,45.375,43.194444444444436,46.827380952380956,31.33333333333333,0.0
Fresno,2018-04-07,31.33333333333333,52.0,,,24.0,18.1,21.4,14.8,23.2,17.7,0.0,0.0,1500.0,150.0,28.0,40.91666666666666,43.29166666666666,37.40277777777777,42.351190476190474,32.0,0.0
Fresno,2018-04-08,32.0,43.0,,,24.0,15.45,21.3,9.6,0.0,22.7,0.0,0.0,1500.0,150.0,31.33333333333333,28.0,40.91666666666666,33.416666666666664,38.363095238095234,29.375,0.0
Fresno,2018-04-09,29.375,45.0,,,24.0,16.9,25.7,8.1,0.0,15.4,0.0,0.0,1500.0,150.0,32.0,31.33333333333333,28.0,30.444444444444443,35.76190476190476,54.333333333333336,0.0
Fresno,2018-04-10,54.333333333333336,64.0,,,24.0,20.4,28.9,11.9,0.0,12.4,0.0,0.0,1500.0,150.0,29.375,32.0,31.33333333333333,30.902777777777775,35.75595238095237,23.58333333333333,0.0
Fresno,2018-04-11,23.58333333333333,56.0,,,24.0,18.25,25.4,11.1,0.0,24.8,0.0,0.0,1500.0,150.0,54.333333333333336,29.375,32.0,38.56944444444445,37.03571428571428,17.875,0.0
Fresno,2018-04-12,17.875,31.0,,,24.0,14.75,22.3,7.2,1.7,28.9,0.0,0.0,1500.0,150.0,23.58333333333333,54.333333333333336,29.375,35.763888888888886,34.220238095238095,28.041666666666668,0.0
Fresno,2018-04-13,28.041666666666668,44.0,,,24.0,13.2,20.0,6.4,0.0,26.3,0.0,0.0,1500.0,150.0,17.875,23.58333333333333,54.333333333333336,31.930555555555554,30.928571428571427,50.29166666666666,0.0
Fresno,2018-04-14,50.29166666666666,61.0,,,24.0,16.05,25.5,6.6,0.0,10.8,0.0,0.0,1500.0,150.0,28.041666666666668,17.875,23.58333333333333,23.166666666666668,30.934523809523814,55.66666666666666,0.0
Fresno,2018-04-15,55.66666666666666,64.0,,,24.0,19.5,27.6,11.4,0.0,13.7,0.0,0.0,1500.0,150.0,50.29166666666666,28.041666666666668,17.875,32.06944444444444,33.642857142857146,27.45833333333333,0.0
Fresno,2018-04-16,27.45833333333333,52.0,,,24.0,18.45,27.0,9.9,2.8,27.7,0.0,0.0,1500.0,150.0,55.66666666666666,50.29166666666666,28.041666666666668,44.666666666666664,37.02380952380952,17.75,0.0
Fresno,2018-04-17,17.75,36.0,,,24.0,11.1,18.1,4.1,0.6,14.8,0.0,0.0,1500.0,150.0,27.45833333333333,55.66666666666666,50.29166666666666,44.47222222222221,36.75,38.583333333333336,0.0
Fresno,2018-04-18,38.583333333333336,59.0,,,24.0,12.35,19.8,4.9,0.0,10.6,0.0,0.0,1500.0,150.0,17.75,27.45833333333333,55.66666666666666,33.62499999999999,31.52380952380952,27.791666666666668,0.0
Fresno,2018-04-19,27.791666666666668,40.0,,,24.0,13.85,19.6,8.1,0.5,23.4,0.0,0.0,1500.0,150.0,38.583333333333336,17.75,27.45833333333333,27.930555555555554,33.666666666666664,36.708333333333336,0.0
Fresno,2018-04-20,36.708333333333336,57.0,,,24.0,15.4,23.5,7.3,0.0,20.9,0.0,0.0,1500.0,150.0,27.791666666666668,38.583333333333336,17.75,28.041666666666668,35.08333333333333,51.083333333333336,0.0
Fresno,2018-04-21,51.083333333333336,57.0,,,24.0,18.8,28.8,8.8,0.0,10.4,0.0,0.0,1500.0,150.0,36.708333333333336,27.791666666666668,38.583333333333336,34.361111111111114,36.32142857142857,50.16666666666666,0.0
Fresno,2018-04-22,50.16666666666666,66.0,,,24.0,20.85,31.1,10.6,0.0,11.3,0.0,0.0,1500.0,150.0,51.083333333333336,36.708333333333336,27.791666666666668,38.52777777777778,36.43452380952381,52.208333333333336,0.0
Fresno,2018-04-23,52.208333333333336,63.0,,,24.0,22.2,32.5,11.9,0.0,9.0,0.0,0.0,1500.0,150.0,50.16666666666666,51.083333333333336,36.708333333333336,45.986111111111114,35.648809523809526,54.708333333333336,0.0
Fresno,2018-04-24,54.708333333333336,64.0,,,24.0,22.85,32.5,13.2,0.0,12.2,0.0,0.0,1500.0,150.0,52.208333333333336,50.16666666666666,51.083333333333336,51.15277777777777,39.18452380952381,59.708333333333336,0.0
